key_resp.keys,key_resp.corr,tilt,,,HIT,MISS,FALSE ALARM,CORRECT REJECTION
down,1,-3,,,,,,1
down,1,3,,,,,,1
down,1,-4,,,,,,1
down,1,-4,,,,,,1
up,0,1,,,,,1,
up,1,0,,,1,,,
down,1,-4,,,,,,1
down,1,-5,,,,,,1
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,1,,,,,1,
down,1,-4,,,,,,1
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,3,,,,,1,
up,1,0,,,1,,,
down,1,-5,,,,,,1
down,1,-5,,,,,,1
up,0,2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
down,0,0,,,,1,,
down,1,-5,,,,,,1
up,1,0,,,1,,,
down,1,-3,,,,,,1
down,1,2,,,,,,1
up,1,0,,,1,,,
down,1,-3,,,,,,1
up,0,2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
down,1,-5,,,,,,1
up,1,0,,,1,,,
down,1,-4,,,,,,1
up,1,0,,,1,,,
up,1,0,,,1,,,
down,1,2,,,,,,1
up,1,0,,,1,,,
down,1,-5,,,,,,1
up,0,-2,,,,,1,
down,1,-4,,,,,,1
down,1,-4,,,,,,1
up,1,0,,,1,,,
down,0,0,,,,1,,
up,1,0,,,1,,,
up,1,0,,,1,,,
down,1,3,,,,,,1
up,1,0,,,1,,,
down,0,0,,,,1,,
up,0,2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,2,,,,,1,
down,1,3,,,,,,1
down,1,-4,,,,,,1
down,1,3,,,,,,1
down,1,-4,,,1,,,1
up,0,2,,,,,1,
down,1,3,,,,,,1
down,0,0,,,,1,,
down,1,2,,,,,,1
down,0,0,,,,1,,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
down,1,-2,,,,,,1
down,1,-2,,,,,,1
up,0,2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
down,1,-4,,,,,,1
down,1,1,,,,,,1
down,1,2,,,,,,1
up,1,0,,,1,,,
down,1,2,,,,,,1
up,1,0,,,1,,,
down,1,-4,,,,,,1
down,1,-4,,,,,,1
up,1,0,,,1,,,
up,1,0,,,1,,,
down,1,2,,,,,,1
down,1,-5,,,,,,1
down,1,-5,,,,,,1
down,1,4,,,,,,1
down,1,-4,,,,,,1
down,1,-5,,,,,,1
up,1,0,,,1,,,
,,,,,,,,
,,,,,42,5,14,40
,,,,,,,,
,,,prop hit=hit/hit+mess ,,,,,
,,,0.893617021,,,,,
,,,,,,,,
,,,prop fa = fa/fa+corr rejection,,,,,
,,,0.259259259,,,,,
,,,,,,,,
,,,d prime = z(prop hit)-z(prop fa),,,,,
,,,1.891626494,,,,,
,,,,,,,,
,,,criterion = -z(prop hit)+ z(prop fa)/2 ,,,,,
,,,-0.92318037,liberal bias bcoz of negative value indicates bias to respond yes,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,0,,,,
